commentId,videoId,videoUrl,commenterUsername,commenterNickname,commenterUid,commentText,likes,replyCount,commentDate,scrapeDate
"7555890090536780562","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","commback.nanti","乌兰⚡","7235987383413703688","yang mancing siapa 😭","1","0","2025-09-30T14:32:39.000Z","2026-04-10T03:05:41.984Z"
"7579552711960724232","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","putubagusbhanuari","bhanu","7533185370558104594","ngeri dikasih daging mahal😭","0","0","2025-12-03T08:55:45.000Z","2026-04-10T03:05:41.984Z"
"7606899622514426632","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","sariwidiawida","mamah naya","7040355986204525595","aku pernah kirain aku ayam ternyata tuna🤢🤮🤮🤒","0","0","2026-02-15T01:35:46.000Z","2026-04-10T03:05:41.984Z"
"7555369808051716871","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","afifah.rangkuti.c","Afifah Rangkuti 🎀💙","7290837292339889158","berarti hiu nya gak ikhlas 🗿😭","1","0","2025-09-29T04:53:49.000Z","2026-04-10T03:05:41.984Z"
"7574688254316200724","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","vyn_devanstecu05","🚀Dev?_Vynkun🚀","6887096142707835910","lah ada ada saja🗿","0","0","2025-11-20T06:19:23.000Z","2026-04-10T03:05:41.984Z"
"7604491206698156821","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","zincrng2","@π114.98*","7567026899285918740","hi ngak mau mknmbg lagi","0","0","2026-02-08T13:49:54.000Z","2026-04-10T03:05:41.984Z"
"7554934988258689793","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","15fvaa","rid no weak","7425923855556936709","megalodon kan??","1","0","2025-09-28T00:47:05.000Z","2026-04-10T03:05:41.984Z"
"7582490583269573394","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","leryy57","CARIN SIAPA 🫠","7469080426608641041","sok tau","0","0","2025-12-11T06:56:15.000Z","2026-04-10T03:05:41.984Z"
"7557157446923076360","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","wahyuariansyah37","PP ULTRAMAN RAMADAN","7349415196420572161","siapa yang nangkep nya Prabowo kah🗿","1","0","2025-10-04T00:30:50.000Z","2026-04-10T03:05:41.984Z"
"7606927381307081479","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","dewi030566","Dara","6936719458119517190","uma kayapa caranya kaitu Hanyar malihat nah","0","0","2026-02-15T03:23:28.000Z","2026-04-10T03:05:41.984Z"
"7554961163096736519","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","moskov..mv2","moskov..mv2","7269705433082151938","ada ada saja ide nya🗿","1","0","2025-09-28T02:27:57.000Z","2026-04-10T03:05:41.984Z"
"7554312148084835090","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","zarr_sukamieayam","𝚣𝚊𝚛𝚛𝚎𝚗𝚗?!","7497203280117957639","gw:oh hiu gw kira apaan jir ...HAH APA ANJ...HIU?!","5","0","2025-09-26T08:29:27.000Z","2026-04-10T03:05:41.984Z"
"7554251929322734354","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","xstore32","X STORE62","7042090560933037058","hiu goreng cik😹  pdhl hiu ga boleh asal di masak","2057","51","2025-09-26T04:35:55.000Z","2026-04-10T03:05:41.984Z"
"7626886558726095634","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","_sae_bllkfans_01","𝐬𝐨𝐫𝐚’ 𝓼𝓪𝓽𝓸𝓻𝓾ソラ","7161739875229451290","LAH BARU NGEH SETAHUN KALO YG KERACUNAN MBG HIU ITU DI TEMPAT AKU","0","0","2026-04-09T22:15:37.000Z","2026-04-10T03:05:41.984Z"
"7626635463403569940","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","fadianajwa","🌟?🌟✌🏻","7194404728321623046","tapi mbg gw baik"" aja kok 🧐","0","0","2026-04-09T06:03:54.000Z","2026-04-10T03:05:41.984Z"
"7583985737441149713","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","bilqis.qumayra3","Bilqis ✌","7512472050524193793","bukan hiu ikan lele klao aku😭","1","0","2025-12-15T07:38:12.000Z","2026-04-10T03:05:41.984Z"
"7626257669674992392","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","key054370","Key","7594780380810576903","gua aja gak suka karena takut sakit lagih untung dijaga Alloh ☘️🥲","0","0","2026-04-08T05:34:56.000Z","2026-04-10T03:05:41.984Z"
"7626055012116185877","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","iyanamakuadit","𓁹 poseidoz †","7617269052545844245","emang bisa beracun ya ( gw habis makan daging hiu)","0","0","2026-04-07T16:28:28.000Z","2026-04-10T03:05:41.984Z"
"7624923003385971476","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","paulputra2006","TKS Pertanian BPP Jaya Bakti","7256634704010970114","Pengelola MBG bias dituntut berdasarkan Undang-undang di Indonesia  khususnya UU Pangan No. 18 Tahun 2012 dan PP No. 86 Tahun 2019 tentang Keamanan Pangan  mewajibkan makanan yang diproduksi  diedarkan  atau disumbangkan harus memenuhi standar keamanan  gizi  dan higiene. Memberikan makanan yang tidak layak (rusak  beracun  kadaluwarsa) dapat dikenakan sanksi pidana dan denda  terutama jika merugikan kesehatan manusia","0","0","2026-04-04T15:15:39.000Z","2026-04-10T03:05:41.984Z"
"7624040701877469970","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","anam1183","(anam)","7493149626497778706","gila menu ikan hiu😳","0","0","2026-04-02T06:11:52.000Z","2026-04-10T03:05:41.984Z"
"7624024676957209365","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","nainaqilaa","nainaqilaa","7552055962984727560","emang iya","0","0","2026-04-02T05:09:55.000Z","2026-04-10T03:05:41.984Z"
"7623398873495110421","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","cahcamessyaayunda","pisang goreng","7460832531953845268","daging hiu memang beracun kalo gak bisa merventasi","0","0","2026-03-31T12:43:16.000Z","2026-04-10T03:05:41.984Z"
"7620444897946632981","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","rizki88431","꧁☬ÆRØX̌¤ĴA₩A☬꧂","7531571077555274769","pasti nontonya hari selasa","0","0","2026-03-23T13:38:22.000Z","2026-04-10T03:05:41.984Z"
"7618462370730279698","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","anitaaprisa","NitNot","7240726323752272901","daging megawati","0","0","2026-03-18T05:25:13.000Z","2026-04-10T03:05:41.984Z"
"7617719525223531284","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","pretty_hanae0_0","ᥣ᥆᥎᥎ᥱ.һᥲᥒᥲᥱ♡","7494968594939053063","yg masak plankton 😹🥀","0","0","2026-03-16T05:22:32.000Z","2026-04-10T03:05:41.984Z"
"7617208767215010567","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","qinaraibunyaizzad","€masmuichiro..🩵🥶}","6792499962145014785","gimana cara tangkapnya jir","0","0","2026-03-14T20:24:20.000Z","2026-04-10T03:05:41.984Z"
"7615483679599837968","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","pvpacox23","👾★NO PEPENGSHOT★👾","7588485734051922951","ARTI MBG M:MAKANAN B:BERACUN G:GRATIS JADI JANGAN MAKAN MBG GES!","0","0","2026-03-10T04:46:38.000Z","2026-04-10T03:05:41.984Z"
"7602147883513529095","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","daffa10_1","BARO POINT😎😈 DAFFA🖤🖤","7516143242766599176","pemerintah ngapain aja sih?","0","0","2026-02-02T06:16:35.000Z","2026-04-10T03:05:41.984Z"
"7601889703202374408","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","m.rizki.sujana","[M.RIZKI]","7523241717047247888","gua dari umur 3 tahun makan hiu bosen sama daging hiu mana ga ada tasanya","0","0","2026-02-01T13:34:42.000Z","2026-04-10T03:05:41.984Z"
"7601510449092117269","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","arkha.pratama16","NYI loro kidul","7452351666479547393","gimana cara nangkep ikannya","0","0","2026-01-31T13:03:02.000Z","2026-04-10T03:05:41.984Z"
